.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
C77_1_DKDL250004170-1A_22YNKMLT3_L8_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	0.25
C77_2_DKDL250004171-1A_22YNKMLT3_L8_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
C77_3_DKDL250004186-1A_22YNKMLT3_L5_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
C77_4_DKDL250004187-1A_22YNKMLT3_L6_1	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	0.25
VSVG_1_DKDL250004158-1A_22YNKMLT3_L8_1	1	1	1	1	0.25	1	1	1	0.25	0.25	1
VSVG_2_DKDL250004159-1A_22YNKMLT3_L8_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
VSVG_3_DKDL250004174-1A_22YNKMLT3_L6_1	1	1	0.25	1	0.25	0.5	1	1	0.25	0.25	1
VSVG_4_DKDL250004175-1A_22YNKMLT3_L5_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.5
WT_025_1_DKDL250004160-1A_22YNKMLT3_L8_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	0.5
WT_025_2_DKDL250004161-1A_22YNKMLT3_L8_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	0.5
WT_025_3_DKDL250004176-1A_22YNKMLT3_L6_1	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	0.25
WT_025_4_DKDL250004177-1A_22YNKMLT3_L6_1	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	0.5
WT_1_1_DKDL250004162-1A_22YNKMLT3_L8_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
WT_1_2_DKDL250004163-1A_22YNKMLT3_L8_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
WT_1_3_DKDL250004178-1A_22YNKMLT3_L6_1	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	0.25
WT_1_4_DKDL250004179-1A_22YNKMLT3_L6_1	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	0.25
WT_4_1_DKDL250004164-1A_22YNKMLT3_L8_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
WT_4_2_DKDL250004165-1A_22YNKMLT3_L8_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
WT_4_3_DKDL250004180-1A_22YNKMLT3_L6_1	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	0.25
WT_4_4_DKDL250004181-1A_22YNKMLT3_L6_1	1	0.5	0.25	1	0.25	0.25	1	1	0.25	0.25	0.25
X15_1_DKDL250004156-1A_22YNKMLT3_L8_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
X15_2_DKDL250004157-1A_22YNKMLT3_L5_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
X15_3_DKDL250004172-1A_22YNKMLT3_L6_1	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
X15_4_DKDL250004173-1A_22YNKMLT3_L8_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.5
YHA_025_1_DKDL250004166-1A_22YNKMLT3_L8_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
YHA_025_2_DKDL250004167-1A_22YNKMLT3_L8_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	0.25
YHA_025_3_DKDL250004182-1A_22YNKMLT3_L6_1	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	0.25
YHA_025_4_DKDL250004183-1A_22YNKMLT3_L6_1	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	0.25
YHA_1_1_DKDL250004168-1A_22YNKMLT3_L8_1	1	0.5	1	1	0.25	0.25	1	1	0.25	0.25	0.25
YHA_1_2_DKDL250004169-1A_22YNKMLT3_L8_1	1	0.5	1	1	0.25	0.25	1	1	0.25	0.25	0.25
YHA_1_3_DKDL250004184-1A_22YNKMLT3_L5_1	1	0.5	1	1	0.25	0.25	1	1	0.25	0.25	0.25
YHA_1_4_DKDL250004185-1A_22YNKMLT3_L6_1	1	0.5	0.25	1	0.25	0.25	1	1	0.25	0.25	0.25
