Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
C77_1_DKDL250004170-1A_22YNKMLT3_L8_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 2.466599772480837e-05)	(8, 2.466599772480837e-05)	(9, 2.466599772480837e-05)	(10, 2.466599772480837e-05)	(12, 2.466599772480837e-05)	(14, 2.466599772480837e-05)	(16, 2.466599772480837e-05)	(18, 4.933199544961674e-05)	(20, 0.00012332998862404185)	(22, 0.0002589929761104879)	(24, 0.00173895283959899)	(26, 10.774539461156479)	(28, 21.742793335444745)	(30, 21.856466585959524)	(32, 21.85676257793222)	(34, 21.953539620005504)	(36, 21.95387261097479)	(38, 21.95397127496569)	(40, 21.9543289319327)	(42, 22.635801117073704)	(44, 26.19733686155765)	(46, 26.20299770803549)	(48, 26.20304704003094)	(50, 26.20313337102298)	(52, 26.203170370019564)	(54, 26.203318366005917)	(56, 26.203429362995674)	(58, 26.203528026986575)	(60, 26.203577358982024)	(62, 26.203774686963826)	(64, 26.203996680943348)	(66, 26.20407067893652)	(68, 26.204231007921734)	(70, 26.204342004911496)	(72, 26.20451466689557)	(74, 26.204773659871677)	(76, 26.204859990863714)	(78, 26.205007986850063)	(80, 26.2052916458239)	(82, 26.20551363980342)	(84, 26.205735633782943)	(86, 26.206043958754506)	(88, 26.206191954740852)	(90, 26.206401615721518)	(92, 26.206500279712415)	(94, 26.206722273691938)	(96, 26.20710459665667)	(98, 26.207375922631645)	(100, 26.207585583612307)	(102, 26.20775824559638)	(104, 26.208029571571352)	(106, 26.208362562540636)	(108, 26.208695553509923)	(110, 26.209065543475795)	(112, 26.209386201446215)	(114, 26.209719192415502)	(116, 26.210039850385925)	(118, 26.21032350935976)	(120, 26.210668833327908)	(122, 26.211026490294916)	(124, 26.211482811252825)	(126, 26.211939132210734)	(128, 26.212296789177742)	(130, 26.212827108128828)	(132, 26.21330809508446)	(134, 26.213875413032135)	(136, 26.214356399987764)	(138, 26.2150347149252)
C77_2_DKDL250004171-1A_22YNKMLT3_L8_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 2.4230646679613908e-05)	(14, 6.057661669903477e-05)	(16, 7.269194003884173e-05)	(18, 7.269194003884173e-05)	(20, 9.692258671845563e-05)	(22, 0.0004482669635728573)	(24, 0.00449478495906838)	(26, 8.139449794705847)	(28, 16.437428595313065)	(30, 16.601227766867257)	(32, 16.60153064995075)	(34, 16.605807359089702)	(36, 16.61311289906361)	(38, 16.886616323459748)	(40, 16.887912663057108)	(42, 17.262821343807435)	(44, 21.196981830649587)	(46, 21.203839103659917)	(48, 21.203923910923297)	(50, 21.246812155546213)	(52, 21.24694542410295)	(54, 21.24699388539631)	(56, 21.247054462013008)	(58, 21.247054462013008)	(60, 21.24713926927639)	(62, 21.289373286438952)	(64, 21.385484146493646)	(66, 21.385556838433683)	(68, 21.385581069080363)	(70, 21.385581069080363)	(72, 21.38564164569706)	(74, 21.38570222231376)	(76, 21.385762798930458)	(78, 21.385774914253798)	(80, 21.385787029577138)	(82, 21.38585972151718)	(84, 21.3858960674872)	(86, 21.385968759427236)	(88, 21.386077797337293)	(90, 21.386138373953994)	(92, 21.386174719924014)	(94, 21.38623529654071)	(96, 21.386307988480752)	(98, 21.386453372360826)	(100, 21.41193189734444)	(102, 21.413809772462113)	(104, 21.415542263699706)	(106, 21.415590724993066)	(108, 21.415723993549804)	(110, 21.41574822419648)	(112, 21.4157845701665)	(114, 21.415881492753222)	(116, 21.41595418469326)	(118, 21.416014761309956)	(120, 21.416026876633296)	(122, 21.416075337926657)	(124, 21.41624495245341)	(126, 21.41640245165683)	(128, 21.41654783553691)	(130, 21.416572066183587)	(132, 21.416656873446968)	(134, 21.416778026680365)	(136, 21.422799342380248)	(138, 21.428784312110114)
C77_3_DKDL250004186-1A_22YNKMLT3_L5_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 6.92225477220244e-05)	(12, 0.00016613411453285856)	(14, 0.00016613411453285856)	(16, 0.00016613411453285856)	(18, 0.00016613411453285856)	(20, 0.0002076676431660732)	(22, 0.00023535666225488297)	(24, 0.002062831922116327)	(26, 7.29806398378531)	(28, 14.626405909944236)	(30, 14.678918134646162)	(32, 14.679125802289327)	(34, 14.73413003870925)	(36, 14.787680601627006)	(38, 14.787680601627006)	(40, 14.78772213515564)	(42, 14.830446291609674)	(44, 14.993645370119118)	(46, 14.994005327367272)	(48, 14.994088394424539)	(50, 14.994171461481805)	(52, 14.994240684029528)	(54, 14.994323751086794)	(56, 14.994434507163149)	(58, 14.994462196182237)	(60, 14.994517574220415)	(62, 14.994586796768138)	(64, 14.994642174806316)	(66, 14.994669863825404)	(68, 14.994739086373126)	(70, 14.994835997939937)	(72, 14.994974443035382)	(74, 14.995085199111736)	(76, 14.995126732640369)	(78, 14.995237488716725)	(80, 14.995389778321712)	(82, 14.995569756945791)	(84, 14.99569435753169)	(86, 14.995777424588956)	(88, 14.995888180665311)	(90, 14.996137381837112)	(92, 14.996414272027998)	(94, 14.996594250652077)	(96, 14.996774229276154)	(98, 14.997023430447953)	(100, 14.997272631619753)	(102, 14.997563366320184)	(104, 14.997743344944261)	(106, 14.99792332356834)	(108, 14.99814483572105)	(110, 14.998435570421481)	(112, 14.998740149631459)	(114, 14.999113951389159)	(116, 14.999446219618225)	(118, 14.999667731770934)	(120, 14.999916932942734)	(122, 15.000110756076356)	(124, 15.000359957248154)	(126, 15.000650691948588)	(128, 15.000899893120387)	(130, 15.001052182725374)	(132, 15.001259850368541)	(134, 15.001522896049885)	(136, 15.001702874673963)	(138, 15.001896697807585)
C77_4_DKDL250004187-1A_22YNKMLT3_L6_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 2.090760323808596e-05)	(5, 2.090760323808596e-05)	(6, 2.090760323808596e-05)	(7, 6.272280971425788e-05)	(8, 6.272280971425788e-05)	(9, 6.272280971425788e-05)	(10, 6.272280971425788e-05)	(12, 9.408421457138681e-05)	(14, 0.0001045380161904298)	(16, 0.00012544561942851577)	(18, 0.00019862223076181663)	(20, 0.0003449754534284183)	(22, 0.0004704210728569341)	(24, 0.004923740562569243)	(26, 10.437619134136702)	(28, 21.076829378695027)	(30, 21.168697387323178)	(32, 21.1688751019507)	(34, 21.168979639966892)	(36, 21.169125993189557)	(38, 21.169251438808985)	(40, 21.169376884428416)	(42, 21.24971434987076)	(44, 21.61464611058993)	(46, 21.615346515298405)	(48, 21.61540923810812)	(50, 21.615576498934026)	(52, 21.615775121164788)	(54, 21.615994650998786)	(56, 21.616109642816596)	(58, 21.61620372703117)	(60, 21.616370987857074)	(62, 21.616548702484597)	(64, 21.616705509508883)	(66, 21.616893677938027)	(68, 21.616998215954215)	(70, 21.61714456917688)	(72, 21.617426821820594)	(74, 21.61771952826593)	(76, 21.617918150496692)	(78, 21.61813768033069)	(80, 21.618451294379263)	(82, 21.618681278014883)	(84, 21.618911261650503)	(86, 21.6191307914845)	(88, 21.619538489747644)	(90, 21.6197893809865)	(92, 21.619977549415644)	(94, 21.620207533051264)	(96, 21.62056296230631)	(98, 21.620845214950023)	(100, 21.621200644205068)	(102, 21.621576981063356)	(104, 21.621827872302212)	(106, 21.62223557056536)	(108, 21.62249691560583)	(110, 21.622820983456023)	(112, 21.623197320314308)	(114, 21.623667741387166)	(116, 21.6239081788244)	(118, 21.624357692294023)	(120, 21.624754936755544)	(122, 21.62514172741545)	(124, 21.625528518075356)	(126, 21.626040754354687)	(128, 21.626615713443734)	(130, 21.62702341170688)	(132, 21.627472925176498)	(134, 21.627964253852593)	(136, 21.628371952115735)	(138, 21.62885282699021)
VSVG_1_DKDL250004158-1A_22YNKMLT3_L8_1 - illumina_universal_adapter	(1, 6.772309961448287e-06)	(2, 6.772309961448287e-06)	(3, 6.772309961448287e-06)	(4, 1.015846494217243e-05)	(5, 1.015846494217243e-05)	(6, 1.3544619922896573e-05)	(7, 1.3544619922896573e-05)	(8, 1.6930774903620717e-05)	(9, 1.6930774903620717e-05)	(10, 2.031692988434486e-05)	(12, 2.2010007374706932e-05)	(14, 3.55546272976035e-05)	(16, 5.925771216267251e-05)	(18, 6.941617710484494e-05)	(20, 9.142618447955188e-05)	(22, 0.0001252877342867933)	(24, 0.0002742785534386556)	(26, 1.5068101841049077)	(28, 3.02481838273107)	(30, 3.036722410565806)	(32, 3.038246180307132)	(34, 3.038322368794198)	(36, 3.0383613095764765)	(38, 3.038500141930686)	(40, 3.095604259525618)	(42, 3.131858127826741)	(44, 3.3316734401617825)	(46, 3.3320577687520947)	(48, 3.3320814718369594)	(50, 3.332106867999315)	(52, 3.3321271849291993)	(54, 3.332154274169045)	(56, 3.3321678187889683)	(58, 3.3321830564863815)	(60, 3.3322050664937564)	(62, 3.3420790944175476)	(64, 3.352025924673425)	(66, 3.3520564000682516)	(68, 3.352076716998136)	(70, 3.352115657780414)	(72, 3.3521495193302213)	(74, 3.3521850739575187)	(76, 3.3522070839648936)	(78, 3.352240945514701)	(80, 3.3522714209095272)	(82, 3.3523052824593345)	(84, 3.352345916319103)	(86, 3.3523865501788723)	(88, 3.352420411728679)	(90, 3.3524610455884476)	(92, 3.35251691714563)	(94, 3.352554164850418)	(96, 3.352596491787677)	(98, 3.3526557494998395)	(100, 3.352691304127137)	(102, 3.35275225491679)	(104, 3.3528250572488756)	(106, 3.3528809288060577)	(108, 3.352948651905672)	(110, 3.3605150152101)	(112, 3.368093230056961)	(114, 3.368172804699008)	(116, 3.368243913953603)	(118, 3.3682980924332946)	(120, 3.3683810532303227)	(122, 3.3684792517247635)	(124, 3.368562212521791)	(126, 3.3686197771564634)	(128, 3.3686891933335685)	(130, 3.3688195603003264)	(132, 3.3689380757246514)	(134, 3.369053204993996)	(136, 3.3691581757983986)	(138, 3.3692614535253105)
VSVG_2_DKDL250004159-1A_22YNKMLT3_L8_1 - illumina_universal_adapter	(1, 2.7380031108096144e-06)	(2, 2.7380031108096144e-06)	(3, 2.7380031108096144e-06)	(4, 5.476006221619229e-06)	(5, 1.0952012443238457e-05)	(6, 1.6428018664857687e-05)	(7, 1.91660217756673e-05)	(8, 1.91660217756673e-05)	(9, 1.91660217756673e-05)	(10, 2.6011029552691334e-05)	(12, 3.2856037329715374e-05)	(14, 4.380804977295383e-05)	(16, 5.2022059105382675e-05)	(18, 5.339106066078748e-05)	(20, 6.845007777024037e-05)	(22, 9.856811198914611e-05)	(24, 0.00030802534996608163)	(26, 1.778189275307527)	(28, 3.5677412635249137)	(30, 3.5899560517644677)	(32, 3.5900162878329054)	(34, 3.604370269141325)	(36, 3.614165475270246)	(38, 3.61422708034024)	(40, 3.614269519388457)	(42, 3.6148924150961665)	(44, 3.826416845421763)	(46, 3.826822069882163)	(48, 3.8268343908961615)	(50, 3.8268439739070494)	(52, 3.826860401925714)	(54, 3.826874091941268)	(56, 3.8268918889614887)	(58, 3.82693022100504)	(60, 3.826957601036148)	(62, 3.8269904570734776)	(64, 3.8270411101310278)	(66, 3.827058907151248)	(68, 3.8270808111761343)	(70, 3.8271218812227965)	(72, 3.8271478922523494)	(74, 3.827172534280346)	(76, 3.827191700302122)	(78, 3.827230032345674)	(80, 3.8273587184918814)	(82, 3.827383360519879)	(84, 3.827410740550987)	(86, 3.8274422275867614)	(88, 3.8274901426412002)	(90, 3.827524367680086)	(92, 3.8275736517360803)	(94, 3.82772561090873)	(96, 3.844850451365289)	(98, 3.8449298534555023)	(100, 3.8449763995083863)	(102, 3.8450421115830453)	(104, 3.8451023476514834)	(106, 3.84515984571681)	(108, 3.8452652588365765)	(110, 3.8453405539221235)	(112, 3.84541311100456)	(114, 3.845473347072998)	(116, 3.8455554871663225)	(118, 3.845628044248759)	(120, 3.8457047083358615)	(122, 3.8458402394898465)	(124, 3.856196736256484)	(126, 3.8562884593606963)	(128, 3.8563391124182456)	(130, 3.8564417875349015)	(132, 3.8565348796406687)	(134, 3.8566348167542133)	(136, 3.856734753867758)	(138, 3.856860702010855)
VSVG_3_DKDL250004174-1A_22YNKMLT3_L6_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 2.418072792115767e-06)	(4, 4.836145584231534e-06)	(5, 4.836145584231534e-06)	(6, 7.254218376347302e-06)	(7, 9.672291168463069e-06)	(8, 1.692650954481037e-05)	(9, 2.1762655129041906e-05)	(10, 2.7807837109331323e-05)	(12, 3.748012827779439e-05)	(14, 4.4734346654141694e-05)	(16, 6.286989259500995e-05)	(18, 9.793194808068858e-05)	(20, 0.00014508436752694602)	(22, 0.0001849825685968562)	(24, 0.0004691061216704588)	(26, 2.098865420901357)	(28, 4.211930974274414)	(30, 4.230266011220632)	(32, 4.233102410605783)	(34, 4.245977439187404)	(36, 4.256120045513933)	(38, 4.295284361491436)	(40, 4.326290099868341)	(42, 4.353801723060638)	(44, 4.5505929501377915)	(46, 4.550962915274985)	(48, 4.551035457458749)	(50, 4.551114044824493)	(52, 4.551184168935464)	(54, 4.551301445465882)	(56, 4.551373987649645)	(58, 4.551479173816102)	(60, 4.551595241310124)	(62, 4.551718563022522)	(64, 4.5518249582253745)	(66, 4.55194586186498)	(68, 4.552098200450883)	(70, 4.5522698836191235)	(72, 4.5524113408774625)	(74, 4.552540707771841)	(76, 4.552702718648913)	(78, 4.552850221089232)	(80, 4.553041248839809)	(82, 4.553231067553989)	(84, 4.5533834061398935)	(86, 4.5535611344901135)	(88, 4.553750953204295)	(90, 4.553929890590911)	(92, 4.554095528577172)	(94, 4.554261166563431)	(96, 4.554454612386801)	(98, 4.554689165447636)	(100, 4.554908001035322)	(102, 4.555107492040672)	(104, 4.555290056536476)	(106, 4.555471411995885)	(108, 4.555698710838344)	(110, 4.5559235916080105)	(112, 4.556176280214787)	(114, 4.556379398329325)	(116, 4.556595815844219)	(118, 4.5568364140870345)	(120, 4.557054040638325)	(122, 4.557324864791042)	(124, 4.557549745560708)	(126, 4.557808479349465)	(128, 4.558029733009944)	(130, 4.558339246327334)	(132, 4.558626996989596)	(134, 4.56121433487716)	(136, 4.563825853492645)	(138, 4.564141411992016)
VSVG_4_DKDL250004175-1A_22YNKMLT3_L5_1 - illumina_universal_adapter	(1, 2.9007698556173712e-06)	(2, 2.9007698556173712e-06)	(3, 2.9007698556173712e-06)	(4, 2.9007698556173712e-06)	(5, 2.9007698556173712e-06)	(6, 5.8015397112347425e-06)	(7, 5.8015397112347425e-06)	(8, 5.8015397112347425e-06)	(9, 5.8015397112347425e-06)	(10, 8.702309566852113e-06)	(12, 1.1603079422469485e-05)	(14, 1.1603079422469485e-05)	(16, 1.4503849278086857e-05)	(18, 1.8855004061512914e-05)	(20, 4.3511547834260565e-05)	(22, 6.381693682358217e-05)	(24, 0.00031908468411791084)	(26, 2.6016482696458194)	(28, 5.2521571067396575)	(30, 5.266050343963137)	(32, 5.266092405126043)	(34, 5.26673637603399)	(36, 5.266752330268196)	(38, 5.26676248296269)	(40, 5.266801643355742)	(42, 5.312593196296517)	(44, 5.524642373512004)	(46, 5.525047030906862)	(48, 5.525081840145129)	(50, 5.525109397458758)	(52, 5.525139855542241)	(54, 5.525187718244859)	(56, 5.525238481717333)	(58, 5.525290695574734)	(60, 5.525338558277351)	(62, 5.525412527908669)	(64, 5.525469092920854)	(66, 5.525525657933039)	(68, 5.525588024484934)	(70, 5.525646039882046)	(72, 5.5257127575887255)	(74, 5.525791078374827)	(76, 5.525894055704702)	(78, 5.525979628415442)	(80, 5.526059399586472)	(82, 5.526144972297212)	(84, 5.526240697702448)	(86, 5.526330621567972)	(88, 5.526466957751186)	(90, 5.526582988545411)	(92, 5.526749782812109)	(94, 5.526867263991262)	(96, 5.527007951329259)	(98, 5.527155890591896)	(100, 5.527315432933954)	(102, 5.527493830280075)	(104, 5.527653372622134)	(106, 5.527823067658687)	(108, 5.52797390769118)	(110, 5.528156656192083)	(112, 5.5282958931451525)	(114, 5.528507649344613)	(116, 5.5286903978455175)	(118, 5.528884749425844)	(120, 5.5290718490815305)	(122, 5.529235742578374)	(124, 5.529385132225937)	(126, 5.52954902572278)	(128, 5.529728873453828)	(130, 5.529902919645165)	(132, 5.537694387477353)	(134, 5.545507611083459)	(136, 5.548888458350181)	(138, 5.5523215194743045)
WT_025_1_DKDL250004160-1A_22YNKMLT3_L8_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 2.5523721236042355e-05)	(8, 2.5523721236042355e-05)	(9, 2.5523721236042355e-05)	(10, 2.5523721236042355e-05)	(12, 3.828558185406353e-05)	(14, 5.104744247208471e-05)	(16, 7.657116370812706e-05)	(18, 0.0001020948849441694)	(20, 0.00015314232741625412)	(22, 0.00020418976988833884)	(24, 0.0008039972189353341)	(26, 4.295233904486151)	(28, 8.610950595264228)	(30, 8.637737740701454)	(32, 8.65168645435695)	(34, 8.827966035073675)	(36, 8.82878279415323)	(38, 8.828808317874467)	(40, 8.828859365316939)	(42, 8.831883926283409)	(44, 9.57295241051128)	(46, 9.57430516773679)	(48, 9.574420024482354)	(50, 9.574483833785443)	(52, 9.574534881227915)	(54, 9.574560404949152)	(56, 9.574624214252243)	(58, 9.57463697611286)	(60, 9.57463697611286)	(62, 9.574675261694715)	(64, 9.574688023555332)	(66, 9.57470078541595)	(68, 9.574751832858421)	(70, 9.57476459471904)	(72, 9.57476459471904)	(74, 9.574841165882749)	(76, 9.574866689603985)	(78, 9.574904975185838)	(80, 9.574917737046457)	(82, 9.574930498907076)	(84, 9.5750198319314)	(86, 9.575070879373872)	(88, 9.575083641234489)	(90, 9.575121926816344)	(92, 9.575300592864997)	(94, 9.575402687749941)	(96, 9.575440973331794)	(98, 9.575492020774266)	(100, 9.575530306356121)	(102, 9.575645163101683)	(104, 9.575721734265393)	(106, 9.575836591010955)	(108, 9.575925924035278)	(110, 9.575938685895897)	(112, 9.575964209617133)	(114, 9.57598973333837)	(116, 9.57605354264146)	(118, 9.576142875665786)	(120, 9.576232208690111)	(122, 9.576283256132584)	(124, 9.576385351017528)	(126, 9.576551255205564)	(128, 9.576589540787417)	(130, 9.576704397532978)	(132, 9.580813716651981)	(134, 9.58089028781569)	(136, 9.580966858979398)	(138, 9.581043430143106)
WT_025_2_DKDL250004161-1A_22YNKMLT3_L8_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 1.17702586749749e-05)	(16, 3.53107760249247e-05)	(18, 7.06215520498494e-05)	(20, 9.41620693997992e-05)	(22, 0.0001294728454247239)	(24, 0.0006473642271236195)	(26, 4.493107925032868)	(28, 9.013369836828904)	(30, 9.03671025978138)	(32, 9.109768255376949)	(34, 9.154518778859202)	(36, 9.155095521534278)	(38, 9.189688311780028)	(40, 9.189782473849426)	(42, 9.190724094543427)	(44, 9.635098440558428)	(46, 9.670750554084927)	(48, 9.670750554084927)	(50, 9.670762324343603)	(52, 9.670797635119627)	(54, 9.670821175636977)	(56, 9.670974188999752)	(58, 9.671021270034451)	(60, 9.671044810551802)	(62, 9.671080121327826)	(64, 9.671080121327826)	(66, 9.671080121327826)	(68, 9.671080121327826)	(70, 9.671091891586501)	(72, 9.6711389726212)	(74, 9.671150742879876)	(76, 9.671174283397226)	(78, 9.671174283397226)	(80, 9.671197823914575)	(82, 9.6712802157253)	(84, 9.671362607536025)	(86, 9.6714214588294)	(88, 9.671480310122774)	(90, 9.671550931674826)	(92, 9.671656864002902)	(94, 9.67177456658965)	(96, 9.671880498917725)	(98, 9.671904039435075)	(100, 9.67191580969375)	(102, 9.6720335122805)	(104, 9.672127674349898)	(106, 9.6721747553846)	(108, 9.672186525643275)	(110, 9.672186525643275)	(112, 9.672245376936647)	(114, 9.672363079523398)	(116, 9.672504322627498)	(118, 9.672622025214249)	(120, 9.672716187283648)	(122, 9.672763268318349)	(124, 9.672845660129074)	(126, 9.672951592457148)	(128, 9.673010443750522)	(130, 9.673045754526548)	(132, 9.67317522737197)	(134, 9.673328240734747)	(136, 9.673375321769447)	(138, 9.673469483838847)
