Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
C77_1_DKDL250004170-1A_22YNKMLT3_L8_1	20.145336991794117	8.39805691136323
C77_2_DKDL250004171-1A_22YNKMLT3_L8_1	15.690046413803715	8.019714054138534
C77_3_DKDL250004186-1A_22YNKMLT3_L5_1	13.533811061209345	4.706191818448641
C77_4_DKDL250004187-1A_22YNKMLT3_L6_1	19.941400169644293	4.674124687509735
VSVG_1_DKDL250004158-1A_22YNKMLT3_L8_1	2.8835073630754904	5.660977282929603
VSVG_2_DKDL250004159-1A_22YNKMLT3_L8_1	3.29328930770358	5.506014735713702
VSVG_3_DKDL250004174-1A_22YNKMLT3_L6_1	3.999028128183393	5.118298407979563
VSVG_4_DKDL250004175-1A_22YNKMLT3_L5_1	4.846684595551606	5.339339744750237
WT_025_1_DKDL250004160-1A_22YNKMLT3_L8_1	8.044336745684705	2.987219762302688
WT_025_2_DKDL250004161-1A_22YNKMLT3_L8_1	8.391535300771306	2.578298703270601
WT_025_3_DKDL250004176-1A_22YNKMLT3_L6_1	10.765846081000422	3.3151714903206972
WT_025_4_DKDL250004177-1A_22YNKMLT3_L6_1	7.651583820389932	3.1571263109972323
WT_1_1_DKDL250004162-1A_22YNKMLT3_L8_1	11.24982915473244	6.690230843132619
WT_1_2_DKDL250004163-1A_22YNKMLT3_L8_1	18.16991297442417	6.998291544785932
WT_1_3_DKDL250004178-1A_22YNKMLT3_L6_1	13.242523709439968	8.222382748821328
WT_1_4_DKDL250004179-1A_22YNKMLT3_L6_1	9.31042102407477	6.350191215465262
WT_4_1_DKDL250004164-1A_22YNKMLT3_L8_1	11.31602732106891	16.45039418352814
WT_4_2_DKDL250004165-1A_22YNKMLT3_L8_1	27.904502767071705	13.986044714014227
WT_4_3_DKDL250004180-1A_22YNKMLT3_L6_1	21.351454457283477	14.595239734232404
WT_4_4_DKDL250004181-1A_22YNKMLT3_L6_1	27.935784263231252	13.768115036473308
X15_1_DKDL250004156-1A_22YNKMLT3_L8_1	2.742102606656689	1.97731121528053
X15_2_DKDL250004157-1A_22YNKMLT3_L5_1	10.125829598817958	2.5658741691820808
X15_3_DKDL250004172-1A_22YNKMLT3_L6_1	2.7848766886165057	2.1099018327036045
X15_4_DKDL250004173-1A_22YNKMLT3_L8_1	7.833095139179737	2.6081908223478534
YHA_025_1_DKDL250004166-1A_22YNKMLT3_L8_1	13.036951139833919	5.970018209134645
YHA_025_2_DKDL250004167-1A_22YNKMLT3_L8_1	10.502343177658009	4.765581818536383
YHA_025_3_DKDL250004182-1A_22YNKMLT3_L6_1	13.512584632035024	4.507537024535823
YHA_025_4_DKDL250004183-1A_22YNKMLT3_L6_1	9.356633363930557	4.096614054821929
YHA_1_1_DKDL250004168-1A_22YNKMLT3_L8_1	29.728532549492588	31.911328015445708
YHA_1_2_DKDL250004169-1A_22YNKMLT3_L8_1	46.499027546857405	23.064318208121506
YHA_1_3_DKDL250004184-1A_22YNKMLT3_L5_1	38.01325994054164	26.048613243070143
YHA_1_4_DKDL250004185-1A_22YNKMLT3_L6_1	43.07461327271476	27.350711249666332
