Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
C77_1_DKDL250004170-1A_22YNKMLT3_L8_1	(1, 0.0)	(2, 0.1540884877868779)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0017019538430117778)	(10, 1.4799598634885022e-05)	(15, 1.9732798179846694e-05)	(20, 0.005086128730855486)	(25, 0.0)	(30, 0.0009422411130876796)	(35, 0.003916960438699569)	(40, 0.0005475851494907458)	(45, 0.0038281628468902593)	(50, 0.0008090447253737145)	(55, 0.006654886186153299)	(60, 0.003813363248255374)	(65, 0.014365477074928395)	(70, 0.00996012988127762)	(75, 0.00527359031356403)	(80, 0.00412415481958796)	(85, 0.0037689644523507186)	(90, 0.0002861255736077771)	(95, 0.011647284125654512)	(100, 0.0013368970766846136)	(105, 0.0009570407117225648)	(110, 3.946559635969339e-05)	(115, 7.893119271938678e-05)	(120, 0.006018503444853242)	(125, 0.0002466599772480837)	(130, 0.001272765482600112)	(135, 8.386439226434845e-05)	(140, 8.879759180931013e-05)	(145, 0.0031572477087754712)	(150, 0.0037245656564460637)
C77_2_DKDL250004171-1A_22YNKMLT3_L8_1	(1, 0.0)	(2, 0.1580080469977623)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0016719146208933598)	(10, 3.8769034687382254e-05)	(15, 4.846129335922782e-06)	(20, 0.005195050648109222)	(25, 0.0)	(30, 0.0011194558765981627)	(35, 0.003993210572800372)	(40, 0.0006251506843340389)	(45, 0.0040029028314722175)	(50, 0.0011000713592544714)	(55, 0.006833042363651122)	(60, 0.0038817495980741482)	(65, 0.014315466058315896)	(70, 0.01036587064953883)	(75, 0.005606971641662658)	(80, 0.0046328996451421795)	(85, 0.004119209935534364)	(90, 0.00027138324281167575)	(95, 0.011790632674300128)	(100, 0.0016622223622215142)	(105, 0.001109763617926317)	(110, 3.392290535145947e-05)	(115, 0.0001066148453903012)	(120, 0.006193353291309315)	(125, 0.00027622937214759856)	(130, 0.0014344542834331434)	(135, 9.207645738253285e-05)	(140, 0.00012115323339806954)	(145, 0.003416521181825561)	(150, 0.0034407518285051748)
C77_3_DKDL250004186-1A_22YNKMLT3_L5_1	(1, 0.0)	(2, 0.04253033332041179)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.008445150822086977)	(7, 0.0028242799470585955)	(8, 0.0)	(9, 0.0002768901908880976)	(10, 0.0036494127159051267)	(15, 0.016951217486169335)	(20, 0.03367538501581043)	(25, 0.03853757676780542)	(30, 0.011164212496608095)	(35, 0.01353439253061021)	(40, 0.030718197777125547)	(45, 0.00598636592700067)	(50, 0.02294865902080553)	(55, 0.011690303859295481)	(60, 0.011867513581463863)	(65, 0.03184237195213122)	(70, 0.03545302004131202)	(75, 0.02243364326575367)	(80, 0.021104570349490797)	(85, 0.019675816964508215)	(90, 0.023286465053689007)	(95, 0.01392757660167131)	(100, 0.05542234060816162)	(105, 0.030003821084634254)	(110, 0.008949090969503314)	(115, 0.0034002115441058383)	(120, 0.008079655770114687)	(125, 0.006451541447692674)	(130, 0.002436633679815259)	(135, 0.0015561228727911085)	(140, 0.03776228423331875)	(145, 0.01764344296338958)	(150, 0.004984023435985757)
C77_4_DKDL250004187-1A_22YNKMLT3_L6_1	(1, 0.0)	(2, 0.09059264483062647)	(3, 4.181520647617192e-05)	(4, 0.02011311431503869)	(5, 0.01427989301161271)	(6, 0.0)	(7, 0.0)	(8, 6.272280971425788e-05)	(9, 0.0)	(10, 0.0020656711999228927)	(15, 0.0)	(20, 0.00016726082590468768)	(25, 0.002876886205560628)	(30, 0.0043027847463980905)	(35, 0.022822739694694633)	(40, 0.041104347966076996)	(45, 0.027782023182768626)	(50, 0.026657194128559596)	(55, 0.018900473327229706)	(60, 0.019456615573362795)	(65, 0.04643578679178891)	(70, 0.013201060684527475)	(75, 0.04331637238866649)	(80, 0.005247808412759576)	(85, 0.0029772427011034407)	(90, 0.0021200309683419164)	(95, 0.004256788019274301)	(100, 0.002617631925408362)	(105, 0.007091859018358758)	(110, 0.0020531266379800414)	(115, 0.0006564987416758991)	(120, 0.04235044111906692)	(125, 0.00020071299108562522)	(130, 0.039607363574230045)	(135, 0.05305931549761455)	(140, 0.02084069890772408)	(145, 0.0007693997991615634)	(150, 0.19749322018695997)
VSVG_1_DKDL250004158-1A_22YNKMLT3_L8_1	(1, 0.0)	(2, 0.15967075196106625)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0017303251951500374)	(10, 1.3544619922896573e-05)	(15, 1.083569593831726e-05)	(20, 0.005115802944878036)	(25, 0.0)	(30, 0.0010205871111902568)	(35, 0.0038805336079098685)	(40, 0.0006081534345380561)	(45, 0.003927939777640006)	(50, 0.0010409040410746017)	(55, 0.006588780361493038)	(60, 0.003853444368064075)	(65, 0.014512383016387534)	(70, 0.010617627557558624)	(75, 0.005477444296819374)	(80, 0.004402001474941387)	(85, 0.003952997324497365)	(90, 0.00034267888404928334)	(95, 0.011816326420734971)	(100, 0.0016470257826242236)	(105, 0.0010740883598856985)	(110, 4.131109076483455e-05)	(115, 0.0001063252663947381)	(120, 0.0060381915616272925)	(125, 0.00034335611504542816)	(130, 0.0014215078609079955)	(135, 0.00010090741842557948)	(140, 8.93944914911174e-05)	(145, 0.003287956486283143)	(150, 0.0038195828182568336)
VSVG_2_DKDL250004159-1A_22YNKMLT3_L8_1	(1, 0.0)	(2, 0.15946403917666274)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0017495839878073434)	(10, 1.3690015554048071e-05)	(15, 1.314241493188615e-05)	(20, 0.005083924176151292)	(25, 0.0)	(30, 0.0010355127765081962)	(35, 0.0038375851601107555)	(40, 0.0005974322787786579)	(45, 0.003945462482676654)	(50, 0.0009971807329568617)	(55, 0.006530685019903092)	(60, 0.003802538720292392)	(65, 0.014453370821341792)	(70, 0.010676021729668849)	(75, 0.005415222552559255)	(80, 0.00437423376982944)	(85, 0.003920820454679367)	(90, 0.0003252747695641822)	(95, 0.011649655635872747)	(100, 0.0016455398695965782)	(105, 0.00103660797775252)	(110, 4.983165661673498e-05)	(115, 0.00011499613065400379)	(120, 0.006045510868667629)	(125, 0.00032144156520904873)	(130, 0.0013531211373621114)	(135, 0.00011499613065400379)	(140, 0.00011061532567670842)	(145, 0.0032615093055964124)	(150, 0.0037236842307010755)
VSVG_3_DKDL250004174-1A_22YNKMLT3_L6_1	(1, 0.0)	(2, 0.09336904472196612)	(3, 8.946869330828339e-05)	(4, 0.020038569228263366)	(5, 0.014960616364820252)	(6, 0.0)	(7, 0.0)	(8, 2.1762655129041903e-05)	(9, 0.0)	(10, 0.0020432715093378234)	(15, 0.0)	(20, 0.00013347761812479035)	(25, 0.0027832017837252482)	(30, 0.0043036859554076426)	(35, 0.02259447216952973)	(40, 0.039807765147485026)	(45, 0.028417675067502923)	(50, 0.02650062695791354)	(55, 0.01908294686081921)	(60, 0.01963281661374634)	(65, 0.04688449698089104)	(70, 0.013223956485522707)	(75, 0.04242605436678799)	(80, 0.005226906147437442)	(85, 0.002837366614268641)	(90, 0.0020132874067155877)	(95, 0.004052689999586026)	(100, 0.002470786778983891)	(105, 0.006821383346558579)	(110, 0.001993459209820239)	(115, 0.0005590584295371655)	(120, 0.04198838319141503)	(125, 0.00019876558351191606)	(130, 0.038764608544966286)	(135, 0.052956277761893725)	(140, 0.02031422952656456)	(145, 0.0008661536741358679)	(150, 0.1888490669914493)
VSVG_4_DKDL250004175-1A_22YNKMLT3_L5_1	(1, 0.0)	(2, 0.044068495646539106)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.008760324963964462)	(7, 0.0029732891020078055)	(8, 0.0)	(9, 0.00035389392238531926)	(10, 0.0034873055204232037)	(15, 0.016623151734600907)	(20, 0.0338983965327446)	(25, 0.038559933690721714)	(30, 0.011412788919940985)	(35, 0.013682351254976018)	(40, 0.030934389894274772)	(45, 0.006330059978928228)	(50, 0.023035013423457547)	(55, 0.01196799627030615)	(60, 0.011878072404782012)	(65, 0.03216257585114316)	(70, 0.035229269742501845)	(75, 0.022599897945114942)	(80, 0.021672231745288505)	(85, 0.019720013632458015)	(90, 0.023261853626166822)	(95, 0.014134291198481202)	(100, 0.056477989088870216)	(105, 0.030140739261777856)	(110, 0.008926829153676898)	(115, 0.0033567708769204224)	(120, 0.008440660125875427)	(125, 0.006537174946619308)	(130, 0.0027209221245690944)	(135, 0.0015333469456793422)	(140, 0.03735379358475602)	(145, 0.01779042152450134)	(150, 0.005172072652565773)
WT_025_1_DKDL250004160-1A_22YNKMLT3_L8_1	(1, 0.0)	(2, 0.15748136002638133)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.001863231650231092)	(10, 1.0209488494416941e-05)	(15, 5.104744247208471e-06)	(20, 0.005314038761344018)	(25, 0.0)	(30, 0.001128148478633072)	(35, 0.003991910001317024)	(40, 0.0006585120078898927)	(45, 0.0039102340933616885)	(50, 0.001082205780408196)	(55, 0.0067944145930344734)	(60, 0.003976595768575399)	(65, 0.014329017101914176)	(70, 0.01048003993951899)	(75, 0.005431447879029813)	(80, 0.004624898287970874)	(85, 0.004134842840238862)	(90, 0.00030117991058529976)	(95, 0.011490779300466268)	(100, 0.0017049845785676292)	(105, 0.0010668915476665704)	(110, 6.125693096650165e-05)	(115, 0.00010719962919137787)	(120, 0.006334987610785712)	(125, 0.0003267036318213421)	(130, 0.0014905853201848734)	(135, 0.00011230437343858634)	(140, 5.615218671929317e-05)	(145, 0.0033895501801464245)	(150, 0.004007224234058649)
WT_025_2_DKDL250004161-1A_22YNKMLT3_L8_1	(1, 0.0)	(2, 0.1571329533109149)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0017655388012462348)	(10, 2.35405173499498e-05)	(15, 9.41620693997992e-06)	(20, 0.005310740714148675)	(25, 0.0)	(30, 0.0010969881085076607)	(35, 0.004058385191131345)	(40, 0.0006026372441587149)	(45, 0.004100758122361255)	(50, 0.0010451989703377713)	(55, 0.006822041928015452)	(60, 0.003959515018261557)	(65, 0.014576288343088916)	(70, 0.011064043154476406)	(75, 0.005466108128658343)	(80, 0.004533903641600332)	(85, 0.004053677087661355)	(90, 0.00036252396718922694)	(95, 0.011920917986014579)	(100, 0.0018032036290061544)	(105, 0.0010357827633977912)	(110, 4.237293122990964e-05)	(115, 9.887017286978916e-05)	(120, 0.006393604512246366)	(125, 0.00032015103595931725)	(130, 0.0014642201791668775)	(135, 8.945396592980924e-05)	(140, 9.41620693997992e-05)	(145, 0.0033615858775728315)	(150, 0.003766482775991968)
