Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
C77_1_DKDL250004170-1A_22YNKMLT3_L8_1	(1, 39.16989939232848)	(2, 39.22203615837938)	(3, 39.39604145268914)	(4, 39.48838872823102)	(5, 39.51447400746492)	(6, 39.55018494565094)	(7, 39.4833055594199)	(8, 39.58111142025828)	(9, 39.554972122489374)	(10, 39.59507780149002)	(15, 38.40037699510923)	(20, 39.61726442245553)	(25, 39.50519771770456)	(30, 39.57725079695839)	(35, 39.66098589006266)	(40, 39.626768478038876)	(45, 39.642563695005926)	(50, 39.75904783328943)	(55, 39.712743391732545)	(60, 39.65730883111784)	(65, 39.09762441775912)	(70, 37.73461384393922)	(75, 35.49265012466195)	(80, 33.91214474796777)	(85, 33.07628783640721)	(90, 32.72543128497021)	(95, 33.48256000497266)	(100, 34.93298090555784)	(105, 34.922486756825826)	(110, 35.1317357166607)	(115, 36.54390665991805)	(120, 37.5083542254334)	(125, 38.41439310299238)	(130, 38.91878167730757)	(135, 39.21772883386069)	(140, 39.32834512861344)	(145, 39.38039220909663)	(150, 38.874023349820085)
C77_2_DKDL250004171-1A_22YNKMLT3_L8_1	(1, 39.10427804182452)	(2, 39.08377479552363)	(3, 39.27490347116129)	(4, 39.34414254404829)	(5, 39.3549545009032)	(6, 39.40438574704901)	(7, 39.35936375167949)	(8, 39.44425776077325)	(9, 39.41263870530808)	(10, 39.46146961295177)	(15, 39.29800622969926)	(20, 39.50305129264442)	(25, 39.461007873748635)	(30, 39.447682714220115)	(35, 39.545862047659256)	(40, 39.49088619955634)	(45, 39.504262582671934)	(50, 39.643180320838)	(55, 39.58778625177338)	(60, 39.53679445505882)	(65, 39.5316527602947)	(70, 37.759226363912816)	(75, 37.37528944113225)	(80, 35.3704697716625)	(85, 34.38105124660619)	(90, 34.41004806148769)	(95, 34.24237814104902)	(100, 35.58084441380614)	(105, 35.60998690333547)	(110, 35.7856121327694)	(115, 36.77595655929663)	(120, 37.546592989347)	(125, 38.27834087916055)	(130, 38.75161546932945)	(135, 39.070174812000474)	(140, 39.20821956842796)	(145, 39.26568414625134)	(150, 38.7908248233283)
C77_3_DKDL250004186-1A_22YNKMLT3_L5_1	(1, 39.23082784629272)	(2, 39.332475342928504)	(3, 39.422060672178624)	(4, 39.47052780808187)	(5, 39.519493346328716)	(6, 39.52942484369549)	(7, 39.53139796319576)	(8, 39.59627028912874)	(9, 39.579148784175175)	(10, 39.64298482087973)	(15, 38.083677877027526)	(20, 39.64472690320473)	(25, 39.446640878960224)	(30, 39.58282272936199)	(35, 39.672305166217186)	(40, 39.60477303311053)	(45, 39.63696273611811)	(50, 39.774886059686445)	(55, 39.72166339013275)	(60, 39.64887183860624)	(65, 39.24693100450223)	(70, 38.086667238906394)	(75, 36.02155064044702)	(80, 35.19436412167662)	(85, 35.45472662631454)	(90, 35.139219612686006)	(95, 35.728194952845605)	(100, 36.98876745100428)	(105, 37.0940754359636)	(110, 37.14035491784668)	(115, 37.28095648947541)	(120, 37.95569618500695)	(125, 38.69560409132946)	(130, 39.16888197278723)	(135, 39.27401463087769)	(140, 39.33728182437409)	(145, 39.38829070147361)	(150, 37.918313517225336)
C77_4_DKDL250004187-1A_22YNKMLT3_L6_1	(1, 38.8866454566001)	(2, 39.00664443630907)	(3, 39.137632661355994)	(4, 39.22582574056299)	(5, 39.26596708432392)	(6, 39.293522469087584)	(7, 39.27104951359507)	(8, 39.38284790408595)	(9, 39.369093628219744)	(10, 39.45313909891157)	(15, 39.25977793198297)	(20, 39.523953736491855)	(25, 39.42914808416314)	(30, 39.42631351494653)	(35, 39.530429908410056)	(40, 39.46001774219211)	(45, 39.46583879527044)	(50, 39.64312293524351)	(55, 39.56494054191253)	(60, 39.49834719124122)	(65, 39.4972926953643)	(70, 37.29217794293855)	(75, 35.84540700726685)	(80, 33.57577992155049)	(85, 33.153042903029075)	(90, 33.388534437645056)	(95, 33.41205616033121)	(100, 35.669149472427996)	(105, 35.9252001641665)	(110, 36.00181758157991)	(115, 36.32749272467676)	(120, 37.03261360303026)	(125, 38.09350419584236)	(130, 38.6728912225491)	(135, 38.93941950875914)	(140, 39.06720581800057)	(145, 39.16304907286279)	(150, 38.27433305268361)
VSVG_1_DKDL250004158-1A_22YNKMLT3_L8_1	(1, 39.3021047221929)	(2, 39.1800521203747)	(3, 39.39888431611233)	(4, 39.44356571465258)	(5, 39.47502949425642)	(6, 39.51353495245043)	(7, 39.50743445563715)	(8, 39.53498187611339)	(9, 39.533374536067136)	(10, 39.56476670526545)	(15, 39.63755780208879)	(20, 39.61061112614)	(25, 39.493617338278334)	(30, 39.51813555191499)	(35, 39.63757633790116)	(40, 39.571847649708765)	(45, 39.58861587562869)	(50, 39.747541673494005)	(55, 39.67572931090629)	(60, 39.53771096803703)	(65, 39.57484320494016)	(70, 39.011048563185035)	(75, 38.84775860074053)	(80, 38.929055522478464)	(85, 38.86875784085349)	(90, 38.69282754471833)	(95, 38.82240497526397)	(100, 39.05218931680971)	(105, 39.09987128209072)	(110, 39.155110718633175)	(115, 39.290465363003776)	(120, 39.36486759913925)	(125, 39.38784725908193)	(130, 39.491682177796086)	(135, 39.605423387718716)	(140, 39.51439999314643)	(145, 39.4954014491592)	(150, 38.855715462209645)
VSVG_2_DKDL250004159-1A_22YNKMLT3_L8_1	(1, 39.31619779641129)	(2, 39.195823680047035)	(3, 39.42247021107376)	(4, 39.46389159829508)	(5, 39.49075236711321)	(6, 39.52927081391633)	(7, 39.52988585155511)	(8, 39.559395830043165)	(9, 39.55001356954342)	(10, 39.58078797977207)	(15, 39.66453085083337)	(20, 39.63253648498665)	(25, 39.47100580653795)	(30, 39.549569728287146)	(35, 39.671475253599326)	(40, 39.61624823042858)	(45, 39.627798496551534)	(50, 39.77454717261752)	(55, 39.71245023131745)	(60, 39.65054038324596)	(65, 39.57813316814778)	(70, 39.02808282722259)	(75, 38.836052267165144)	(80, 38.73694649350513)	(85, 38.690865775202056)	(90, 38.54650279243461)	(95, 38.744598303182805)	(100, 39.00447118645998)	(105, 39.04600805717651)	(110, 39.066618424877184)	(115, 39.150509953079386)	(120, 39.297598919123985)	(125, 39.405432931956675)	(130, 39.51753560663526)	(135, 39.601135882494546)	(140, 39.547006119546474)	(145, 39.53874715220296)	(150, 38.917838933571886)
VSVG_3_DKDL250004174-1A_22YNKMLT3_L6_1	(1, 39.17208140064835)	(2, 39.16100471698296)	(3, 39.29685988099987)	(4, 39.351563433980616)	(5, 39.38704650012013)	(6, 39.42910650662765)	(7, 39.428680829093324)	(8, 39.46409865562891)	(9, 39.4896428138939)	(10, 39.514341855718044)	(15, 39.59018448638006)	(20, 39.58465679132186)	(25, 39.39923943872855)	(30, 39.45815676888215)	(35, 39.588675899126514)	(40, 39.51131539581143)	(45, 39.52687160768568)	(50, 39.708368983786535)	(55, 39.627255965192134)	(60, 39.42856109580095)	(65, 39.4724693755917)	(70, 38.74424868640614)	(75, 38.65231647504568)	(80, 38.512808463873796)	(85, 38.5515326760947)	(90, 38.32219434399233)	(95, 38.44879890939114)	(100, 38.78426926130392)	(105, 38.87051373987649)	(110, 39.017345721152495)	(115, 39.26177798280886)	(120, 39.28380194939225)	(125, 39.30596842751372)	(130, 39.44543934061282)	(135, 39.479203882418986)	(140, 39.41820284090667)	(145, 39.42653020966045)	(150, 38.27499527992191)
VSVG_4_DKDL250004175-1A_22YNKMLT3_L5_1	(1, 39.27139100935971)	(2, 39.301196071533795)	(3, 39.38177174207503)	(4, 39.41892625277071)	(5, 39.46852761882445)	(6, 39.48281768136418)	(7, 39.50662879576251)	(8, 39.53204632749918)	(9, 39.527516253231056)	(10, 39.566267504296846)	(15, 39.63051670804277)	(20, 39.603010326131525)	(25, 39.34281151954885)	(30, 39.489903519524375)	(35, 39.61971904477532)	(40, 39.543547119975)	(45, 39.572313491883804)	(50, 39.726100671739985)	(55, 39.668776255411856)	(60, 39.58781738737116)	(65, 39.46851621299738)	(70, 38.64671906830057)	(75, 38.24530662544247)	(80, 38.00142300746191)	(85, 38.17328020244589)	(90, 37.97216668392141)	(95, 38.1342027540083)	(100, 38.55452625540461)	(105, 38.62563220030906)	(110, 38.66266481485387)	(115, 38.75312568249676)	(120, 39.02181670168718)	(125, 39.18379575424179)	(130, 39.42272887777598)	(135, 39.415560489507236)	(140, 39.40950957061151)	(145, 39.44497427263704)	(150, 37.94501744479479)
WT_025_1_DKDL250004160-1A_22YNKMLT3_L8_1	(1, 39.25132799921591)	(2, 39.17438852821035)	(3, 39.3953997065793)	(4, 39.44697293770885)	(5, 39.4776054869875)	(6, 39.50738503350244)	(7, 39.485298847042465)	(8, 39.53262365477227)	(9, 39.51258523646707)	(10, 39.545487712370125)	(15, 39.5718025668696)	(20, 39.602315869322624)	(25, 39.55119956385065)	(30, 39.54478892393012)	(35, 39.662099366909615)	(40, 39.584401688241016)	(45, 39.60941942722728)	(50, 39.762141174765006)	(55, 39.69126215822462)	(60, 39.62229359221874)	(65, 39.391926387546064)	(70, 38.33313433338677)	(75, 37.733660938803304)	(80, 37.327719067546994)	(85, 37.19386945739631)	(90, 36.88348947044405)	(95, 37.41053961230488)	(100, 37.959086087427934)	(105, 38.01878413159622)	(110, 38.083397636095036)	(115, 38.48437264224625)	(120, 38.853772865425675)	(125, 39.16096371445694)	(130, 39.35325866453765)	(135, 39.47927729072846)	(140, 39.451677827339175)	(145, 39.46895320072569)	(150, 38.964208085710695)
WT_025_2_DKDL250004161-1A_22YNKMLT3_L8_1	(1, 39.251595635117276)	(2, 39.189279412993656)	(3, 39.403084278583194)	(4, 39.450720163277026)	(5, 39.47971195822971)	(6, 39.519794397121466)	(7, 39.493986457140366)	(8, 39.541902003180326)	(9, 39.52619835946135)	(10, 39.56125946475926)	(15, 39.59000554379183)	(20, 39.60662580817539)	(25, 39.548637933895876)	(30, 39.49575651572094)	(35, 39.59581218904448)	(40, 39.54429612087584)	(45, 39.558858002422326)	(50, 39.73115448582213)	(55, 39.66340417067346)	(60, 39.600509510957515)	(65, 39.30226895276478)	(70, 37.964088846620584)	(75, 37.317376032693076)	(80, 37.194104842402126)	(85, 37.206402549908844)	(90, 36.781076060588575)	(95, 37.326014743426015)	(100, 37.94933911174566)	(105, 37.997452633536525)	(110, 38.050354908609826)	(115, 38.480959605649254)	(120, 38.90550257239003)	(125, 39.191525319591946)	(130, 39.351873483843555)	(135, 39.48525989319668)	(140, 39.444657538438726)	(145, 39.454039658709576)	(150, 38.93556560212524)
