Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
C77_1_DKDL250004170-1A_22YNKMLT3_L8_1	(13.0, 21.0)	(14.0, 151.0)	(15.0, 811.0)	(16.0, 1626.0)	(17.0, 1717.0)	(18.0, 1707.0)	(19.0, 1917.0)	(20.0, 2322.0)	(21.0, 2753.0)	(22.0, 3816.0)	(23.0, 5000.0)	(24.0, 6693.0)	(25.0, 8480.0)	(26.0, 10369.0)	(27.0, 13086.0)	(28.0, 15582.0)	(29.0, 19656.0)	(30.0, 27830.0)	(31.0, 44439.0)	(32.0, 239894.0)	(33.0, 535021.0)	(34.0, 181434.0)	(35.0, 31548.0)	(36.0, 26669.0)	(37.0, 45470.0)	(38.0, 83665.0)	(39.0, 1606319.0)	(40.0, 1136168.0)		
C77_2_DKDL250004171-1A_22YNKMLT3_L8_1	(12.0, 1.0)	(13.0, 45.0)	(14.0, 485.0)	(15.0, 2619.0)	(16.0, 5687.0)	(17.0, 5418.0)	(18.0, 3667.0)	(19.0, 3023.0)	(20.0, 3373.0)	(21.0, 3648.0)	(22.0, 4423.0)	(23.0, 5320.0)	(24.0, 6584.0)	(25.0, 7855.0)	(26.0, 9421.0)	(27.0, 11755.0)	(28.0, 13816.0)	(29.0, 17489.0)	(30.0, 24229.0)	(31.0, 36331.0)	(32.0, 173068.0)	(33.0, 405619.0)	(34.0, 210703.0)	(35.0, 44872.0)	(36.0, 33777.0)	(37.0, 51587.0)	(38.0, 90733.0)	(39.0, 696737.0)	(40.0, 2254720.0)	
C77_3_DKDL250004186-1A_22YNKMLT3_L5_1	(12.0, 1.0)	(13.0, 17.0)	(14.0, 134.0)	(15.0, 701.0)	(16.0, 1403.0)	(17.0, 1450.0)	(18.0, 1211.0)	(19.0, 1258.0)	(20.0, 1615.0)	(21.0, 1961.0)	(22.0, 2603.0)	(23.0, 3615.0)	(24.0, 4993.0)	(25.0, 6603.0)	(26.0, 8122.0)	(27.0, 10013.0)	(28.0, 12718.0)	(29.0, 16442.0)	(30.0, 27252.0)	(31.0, 111604.0)	(32.0, 348985.0)	(33.0, 41681.0)	(34.0, 11944.0)	(35.0, 17750.0)	(36.0, 27820.0)	(37.0, 51372.0)	(38.0, 89204.0)	(39.0, 1862651.0)	(40.0, 946417.0)	
C77_4_DKDL250004187-1A_22YNKMLT3_L6_1	(12.0, 2.0)	(13.0, 48.0)	(14.0, 562.0)	(15.0, 2371.0)	(16.0, 4713.0)	(17.0, 4782.0)	(18.0, 3558.0)	(19.0, 3602.0)	(20.0, 3889.0)	(21.0, 4661.0)	(22.0, 5751.0)	(23.0, 7416.0)	(24.0, 9885.0)	(25.0, 12221.0)	(26.0, 15145.0)	(27.0, 18286.0)	(28.0, 22666.0)	(29.0, 28907.0)	(30.0, 44279.0)	(31.0, 140222.0)	(32.0, 588541.0)	(33.0, 192480.0)	(34.0, 48703.0)	(35.0, 29103.0)	(36.0, 42153.0)	(37.0, 77028.0)	(38.0, 122493.0)	(39.0, 992297.0)	(40.0, 2357185.0)	
VSVG_1_DKDL250004158-1A_22YNKMLT3_L8_1	(11.0, 3.0)	(12.0, 7.0)	(13.0, 108.0)	(14.0, 1366.0)	(15.0, 7042.0)	(16.0, 14195.0)	(17.0, 14979.0)	(18.0, 11819.0)	(19.0, 11274.0)	(20.0, 12623.0)	(21.0, 14352.0)	(22.0, 17156.0)	(23.0, 21232.0)	(24.0, 25451.0)	(25.0, 29478.0)	(26.0, 34322.0)	(27.0, 38973.0)	(28.0, 45223.0)	(29.0, 52993.0)	(30.0, 68516.0)	(31.0, 107955.0)	(32.0, 434792.0)	(33.0, 469926.0)	(34.0, 184739.0)	(35.0, 165740.0)	(36.0, 234640.0)	(37.0, 398792.0)	(38.0, 728172.0)	(39.0, 4752853.0)	(40.0, 21633300.0)
VSVG_2_DKDL250004159-1A_22YNKMLT3_L8_1	(12.0, 9.0)	(13.0, 114.0)	(14.0, 1287.0)	(15.0, 6746.0)	(16.0, 14148.0)	(17.0, 14638.0)	(18.0, 11657.0)	(19.0, 11482.0)	(20.0, 13037.0)	(21.0, 15194.0)	(22.0, 18423.0)	(23.0, 22973.0)	(24.0, 28242.0)	(25.0, 33751.0)	(26.0, 39426.0)	(27.0, 45587.0)	(28.0, 53659.0)	(29.0, 63168.0)	(30.0, 83884.0)	(31.0, 146306.0)	(32.0, 810131.0)	(33.0, 522828.0)	(34.0, 159040.0)	(35.0, 196566.0)	(36.0, 281942.0)	(37.0, 486411.0)	(38.0, 900910.0)	(39.0, 5978720.0)	(40.0, 26562689.0)	
VSVG_3_DKDL250004174-1A_22YNKMLT3_L6_1	(12.0, 8.0)	(13.0, 165.0)	(14.0, 1690.0)	(15.0, 8556.0)	(16.0, 17807.0)	(17.0, 19536.0)	(18.0, 17518.0)	(19.0, 18130.0)	(20.0, 20482.0)	(21.0, 23501.0)	(22.0, 28112.0)	(23.0, 35732.0)	(24.0, 42993.0)	(25.0, 51277.0)	(26.0, 59576.0)	(27.0, 68144.0)	(28.0, 80628.0)	(29.0, 93332.0)	(30.0, 121257.0)	(31.0, 177487.0)	(32.0, 551968.0)	(33.0, 880815.0)	(34.0, 546509.0)	(35.0, 288929.0)	(36.0, 366132.0)	(37.0, 649419.0)	(38.0, 1172281.0)	(39.0, 8831419.0)	(40.0, 27181845.0)	
VSVG_4_DKDL250004175-1A_22YNKMLT3_L5_1	(12.0, 7.0)	(13.0, 145.0)	(14.0, 1934.0)	(15.0, 10034.0)	(16.0, 21151.0)	(17.0, 21750.0)	(18.0, 15891.0)	(19.0, 14222.0)	(20.0, 15520.0)	(21.0, 17871.0)	(22.0, 21228.0)	(23.0, 27782.0)	(24.0, 34871.0)	(25.0, 43006.0)	(26.0, 50619.0)	(27.0, 59863.0)	(28.0, 72019.0)	(29.0, 88976.0)	(30.0, 132285.0)	(31.0, 493728.0)	(32.0, 1270460.0)	(33.0, 181075.0)	(34.0, 127446.0)	(35.0, 195339.0)	(36.0, 282626.0)	(37.0, 499794.0)	(38.0, 878841.0)	(39.0, 8256461.0)	(40.0, 21638663.0)	
WT_025_1_DKDL250004160-1A_22YNKMLT3_L8_1	(11.0, 1.0)	(12.0, 3.0)	(13.0, 15.0)	(14.0, 160.0)	(15.0, 794.0)	(16.0, 1640.0)	(17.0, 1640.0)	(18.0, 1486.0)	(19.0, 1596.0)	(20.0, 1819.0)	(21.0, 2182.0)	(22.0, 2730.0)	(23.0, 3512.0)	(24.0, 4454.0)	(25.0, 5414.0)	(26.0, 6353.0)	(27.0, 7576.0)	(28.0, 8980.0)	(29.0, 10793.0)	(30.0, 14756.0)	(31.0, 24920.0)	(32.0, 150402.0)	(33.0, 169312.0)	(34.0, 36360.0)	(35.0, 21438.0)	(36.0, 29631.0)	(37.0, 51595.0)	(38.0, 94031.0)	(39.0, 623298.0)	(40.0, 2641033.0)
WT_025_2_DKDL250004161-1A_22YNKMLT3_L8_1	(12.0, 2.0)	(13.0, 32.0)	(14.0, 274.0)	(15.0, 1373.0)	(16.0, 2644.0)	(17.0, 2447.0)	(18.0, 1913.0)	(19.0, 1894.0)	(20.0, 2147.0)	(21.0, 2619.0)	(22.0, 3162.0)	(23.0, 3957.0)	(24.0, 4963.0)	(25.0, 6007.0)	(26.0, 7019.0)	(27.0, 8335.0)	(28.0, 9659.0)	(29.0, 12106.0)	(30.0, 16808.0)	(31.0, 32706.0)	(32.0, 212506.0)	(33.0, 155252.0)	(34.0, 19412.0)	(35.0, 22227.0)	(36.0, 31796.0)	(37.0, 55274.0)	(38.0, 100735.0)	(39.0, 657996.0)	(40.0, 2872730.0)	
