Sample	Unique Reads	Duplicate Reads
C77_1_DKDL250004170-1A_22YNKMLT3_L8_1	90418.0	3963746.0
C77_2_DKDL250004171-1A_22YNKMLT3_L8_1	122365.0	4004640.0
C77_3_DKDL250004186-1A_22YNKMLT3_L5_1	86683.0	3524857.0
C77_4_DKDL250004187-1A_22YNKMLT3_L6_1	143653.0	4639296.0
VSVG_1_DKDL250004158-1A_22YNKMLT3_L8_1	548236.0	28983785.0
VSVG_2_DKDL250004159-1A_22YNKMLT3_L8_1	629986.0	35892982.0
VSVG_3_DKDL250004174-1A_22YNKMLT3_L6_1	781011.0	40574237.0
VSVG_4_DKDL250004175-1A_22YNKMLT3_L5_1	626380.0	33847227.0
WT_025_1_DKDL250004160-1A_22YNKMLT3_L8_1	107090.0	3810834.0
WT_025_2_DKDL250004161-1A_22YNKMLT3_L8_1	110859.0	4137136.0
WT_025_3_DKDL250004176-1A_22YNKMLT3_L6_1	125051.0	4073495.0
WT_025_4_DKDL250004177-1A_22YNKMLT3_L6_1	112526.0	3549095.0
WT_1_1_DKDL250004162-1A_22YNKMLT3_L8_1	104042.0	4907803.0
WT_1_2_DKDL250004163-1A_22YNKMLT3_L8_1	94810.0	4846496.0
WT_1_3_DKDL250004178-1A_22YNKMLT3_L6_1	135295.0	5802108.0
WT_1_4_DKDL250004179-1A_22YNKMLT3_L6_1	111260.0	4459500.0
WT_4_1_DKDL250004164-1A_22YNKMLT3_L8_1	65654.0	3731562.0
WT_4_2_DKDL250004165-1A_22YNKMLT3_L8_1	91106.0	4028050.0
WT_4_3_DKDL250004180-1A_22YNKMLT3_L6_1	89504.0	5111130.0
WT_4_4_DKDL250004181-1A_22YNKMLT3_L6_1	93075.0	5508418.0
X15_1_DKDL250004156-1A_22YNKMLT3_L8_1	74001.0	2436226.0
X15_2_DKDL250004157-1A_22YNKMLT3_L5_1	96257.0	3184847.0
X15_3_DKDL250004172-1A_22YNKMLT3_L6_1	129507.0	4640004.0
X15_4_DKDL250004173-1A_22YNKMLT3_L8_1	90817.0	3464406.0
YHA_025_1_DKDL250004166-1A_22YNKMLT3_L8_1	89987.0	4192479.0
YHA_025_2_DKDL250004167-1A_22YNKMLT3_L8_1	93697.0	3342022.0
YHA_025_3_DKDL250004182-1A_22YNKMLT3_L6_1	132138.0	5393252.0
YHA_025_4_DKDL250004183-1A_22YNKMLT3_L6_1	147060.0	5574592.0
YHA_1_1_DKDL250004168-1A_22YNKMLT3_L8_1	64518.0	6581730.0
YHA_1_2_DKDL250004169-1A_22YNKMLT3_L8_1	59728.0	4899894.0
YHA_1_3_DKDL250004184-1A_22YNKMLT3_L5_1	40939.0	4037209.0
YHA_1_4_DKDL250004185-1A_22YNKMLT3_L6_1	43613.0	4095932.0
