Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
C77_1_DKDL250004170-1A_22YNKMLT3_L8_1	(1.0, 1.8228912298565132)	(2.0, 0.33072169749423064)	(3.0, 0.11358691952274254)	(4.0, 0.055251834903570746)	(5.0, 0.03601235667822022)	(6.0, 0.026491281556444188)	(7.0, 0.021064762056986347)	(8.0, 0.018943486252652828)	(9.0, 0.019313476218524955)	('>10', 0.2339323224220826)	('>50', 0.17542457581883714)	('>100', 46.63089603676615)	('>500', 16.073942741339522)	('>1k', 5.898133375956177)	('>5k', 0.8783561789804261)	('>10k+', 27.665037724176923)
C77_2_DKDL250004171-1A_22YNKMLT3_L8_1	(1.0, 2.5471510194603932)	(2.0, 0.3091815061068597)	(3.0, 0.10168636821677811)	(4.0, 0.046319235357768454)	(5.0, 0.02520857705176068)	(6.0, 0.018173396572521677)	(7.0, 0.013907513339074279)	(8.0, 0.00872248223356575)	(9.0, 0.010903102791957189)	('>10', 0.21115675740423753)	('>50', 0.17088796442594234)	('>100', 47.38544200354419)	('>500', 20.21464332569641)	('>1k', 5.441908207287041)	('>5k', 0.3221018855917308)	('>10k+', 23.17260665491977)
C77_3_DKDL250004186-1A_22YNKMLT3_L5_1	(1.0, 1.940003433438367)	(2.0, 0.37601687922603655)	(3.0, 0.1324919563399547)	(4.0, 0.06589986543136724)	(5.0, 0.040010632583330104)	(6.0, 0.024920117179928786)	(7.0, 0.0195761364957885)	(8.0, 0.013290729162628684)	(9.0, 0.016447277338752998)	('>10', 0.26883268633325397)	('>50', 0.13581463863061188)	('>100', 50.67863016884764)	('>500', 20.278330019880716)	('>1k', 8.081843202622704)	('>5k', 0.2661745405007282)	('>10k+', 17.661717715988193)
C77_4_DKDL250004187-1A_22YNKMLT3_L6_1	(1.0, 2.595401581912893)	(2.0, 0.3894546861483499)	(3.0, 0.13355923903664588)	(4.0, 0.06673016817715202)	(5.0, 0.038808927145888766)	(6.0, 0.02189336025646052)	(7.0, 0.01451760070076658)	(8.0, 0.014407764801871765)	(9.0, 0.012060110476066106)	('>10', 0.1451400795487678)	('>50', 0.14026159735966465)	('>100', 27.766394352729527)	('>500', 29.748544697623107)	('>1k', 14.26187627023652)	('>5k', 0.7461355849393952)	('>10k+', 23.90481397890692)
VSVG_1_DKDL250004158-1A_22YNKMLT3_L8_1	(1.0, 1.5010394986714795)	(2.0, 0.3432504913724581)	(3.0, 0.17302423623487628)	(4.0, 0.09725793314753144)	(5.0, 0.06251030430760732)	(6.0, 0.03774398716339212)	(7.0, 0.02447323464932223)	(8.0, 0.018910928082796704)	(9.0, 0.0132075561740311)	('>10', 0.0880120836459402)	('>50', 0.05249494074564367)	('>100', 0.3439388784320635)	('>500', 25.465671630073842)	('>1k', 61.50920713534733)	('>5k', 1.5341801644951558)	('>10k+', 8.735076997456526)
VSVG_2_DKDL250004159-1A_22YNKMLT3_L8_1	(1.0, 1.3786182442897215)	(2.0, 0.3433216431952477)	(3.0, 0.17056658114047052)	(4.0, 0.10296665303451576)	(5.0, 0.06634190520971447)	(6.0, 0.044911598128931196)	(7.0, 0.03014699068348386)	(8.0, 0.022211239143168825)	(9.0, 0.016018156540545857)	('>10', 0.09304019298154037)	('>50', 0.05064610975968406)	('>100', 0.2173760331897485)	('>500', 5.98503794982195)	('>1k', 78.59228436219823)	('>5k', 3.819877850941665)	('>10k+', 9.066634489741372)
VSVG_3_DKDL250004174-1A_22YNKMLT3_L6_1	(1.0, 1.5261458022687848)	(2.0, 0.36662113291458487)	(3.0, 0.1881055225798625)	(4.0, 0.10845266356781745)	(5.0, 0.07456507686263251)	(6.0, 0.04926110649931543)	(7.0, 0.03693426114995585)	(8.0, 0.026876186637769226)	(9.0, 0.018536034030179362)	('>10', 0.11037140090589567)	('>50', 0.0425445610301546)	('>100', 0.20755010670742857)	('>500', 1.633520541684823)	('>1k', 80.05379734219221)	('>5k', 5.761324199145517)	('>10k+', 9.79539406182306)
VSVG_4_DKDL250004175-1A_22YNKMLT3_L5_1	(1.0, 1.5180300660127277)	(2.0, 0.3106035923232126)	(3.0, 0.143517254793657)	(4.0, 0.07344749854620701)	(5.0, 0.04405537822421923)	(6.0, 0.029109426246190517)	(7.0, 0.02228315150551638)	(8.0, 0.012957315012959606)	(9.0, 0.010622342304194713)	('>10', 0.07766136257935942)	('>50', 0.04507355264560701)	('>100', 0.21967445823135637)	('>500', 3.5949040531333054)	('>1k', 79.54744065225579)	('>5k', 3.8000964055049367)	('>10k+', 10.55052349068077)
WT_025_1_DKDL250004160-1A_22YNKMLT3_L8_1	(1.0, 2.2020032892493178)	(2.0, 0.28435157020312507)	(3.0, 0.07555889016367158)	(4.0, 0.03155660311652691)	(5.0, 0.014679812449412685)	(6.0, 0.008118574537240407)	(7.0, 0.005897455088372748)	(8.0, 0.005106021721534846)	(9.0, 0.006893129324072044)	('>10', 0.2033473150601253)	('>50', 0.5047813073909349)	('>100', 69.2861872804757)	('>500', 13.208129338723303)	('>1k', 3.129072231390985)	('>5k', 0.16900931898280344)	('>10k+', 10.865307862122862)
WT_025_2_DKDL250004161-1A_22YNKMLT3_L8_1	(1.0, 2.1405084045047493)	(2.0, 0.31502424522663813)	(3.0, 0.09437252392885534)	(4.0, 0.04210191530931299)	(5.0, 0.020246399251223648)	(6.0, 0.00932276058544717)	(7.0, 0.010711757743379954)	(8.0, 0.006403512321317247)	(9.0, 0.004873261215120111)	('>10', 0.16653840500366987)	('>50', 0.13287288066733288)	('>100', 57.7814813309637)	('>500', 23.018343189638564)	('>1k', 5.392840321485815)	('>5k', 0.0)	('>10k+', 10.864359092154874)
