Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
C77_1_DKDL250004170-1A_22YNKMLT3_L8_1	C77_1_DKDL250004170-1A_22YNKMLT3_L8_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4054164.0	0.0	150.0	55.0	2.2302501822817233	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	fail
C77_2_DKDL250004171-1A_22YNKMLT3_L8_1	C77_2_DKDL250004171-1A_22YNKMLT3_L8_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4127005.0	0.0	150.0	54.0	2.9649664335126245	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
C77_3_DKDL250004186-1A_22YNKMLT3_L5_1	C77_3_DKDL250004186-1A_22YNKMLT3_L5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3611540.0	0.0	150.0	53.0	2.4001672416752964	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
C77_4_DKDL250004187-1A_22YNKMLT3_L6_1	C77_4_DKDL250004187-1A_22YNKMLT3_L6_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4782949.0	0.0	150.0	55.0	3.00342368395252	150.0	150	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail
VSVG_1_DKDL250004158-1A_22YNKMLT3_L8_1	VSVG_1_DKDL250004158-1A_22YNKMLT3_L8_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29532021.0	0.0	150.0	50.0	1.856409927492259	150.0	150	pass	pass	pass	pass	fail	pass	pass	pass	fail	fail	pass
VSVG_2_DKDL250004159-1A_22YNKMLT3_L8_1	VSVG_2_DKDL250004159-1A_22YNKMLT3_L8_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36522968.0	0.0	150.0	51.0	1.724903372466282	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
VSVG_3_DKDL250004174-1A_22YNKMLT3_L6_1	VSVG_3_DKDL250004174-1A_22YNKMLT3_L6_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41355248.0	0.0	150.0	51.0	1.8885402494231758	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	pass
VSVG_4_DKDL250004175-1A_22YNKMLT3_L5_1	VSVG_4_DKDL250004175-1A_22YNKMLT3_L5_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34473607.0	0.0	150.0	51.0	1.816982876758553	150.0	150	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
WT_025_1_DKDL250004160-1A_22YNKMLT3_L8_1	WT_025_1_DKDL250004160-1A_22YNKMLT3_L8_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3917924.0	0.0	150.0	52.0	2.7333229466024687	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	warn
WT_025_2_DKDL250004161-1A_22YNKMLT3_L8_1	WT_025_2_DKDL250004161-1A_22YNKMLT3_L8_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4247995.0	0.0	150.0	52.0	2.609657301158328	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	warn
WT_025_3_DKDL250004176-1A_22YNKMLT3_L6_1	WT_025_3_DKDL250004176-1A_22YNKMLT3_L6_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4198546.0	0.0	150.0	52.0	2.9784180606502253	150.0	150	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail
