Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
C77_1_DKDL250004170-1A_22YNKMLT3_L8_1	97.76974981771828	55.0	150.0	150	36.36363636363637	4.054164
C77_2_DKDL250004171-1A_22YNKMLT3_L8_1	97.03503356648737	54.0	150.0	150	45.45454545454545	4.127005
C77_3_DKDL250004186-1A_22YNKMLT3_L5_1	97.59983275832471	53.0	150.0	150	45.45454545454545	3.6115399999999998
C77_4_DKDL250004187-1A_22YNKMLT3_L6_1	96.99657631604748	55.0	150.0	150	54.54545454545454	4.7829489999999995
VSVG_1_DKDL250004158-1A_22YNKMLT3_L8_1	98.14359007250773	50.0	150.0	150	27.27272727272727	29.532021
VSVG_2_DKDL250004159-1A_22YNKMLT3_L8_1	98.27509662753371	51.0	150.0	150	27.27272727272727	36.522968
VSVG_3_DKDL250004174-1A_22YNKMLT3_L6_1	98.11145975057683	51.0	150.0	150	36.36363636363637	41.355247999999996
VSVG_4_DKDL250004175-1A_22YNKMLT3_L5_1	98.18301712324144	51.0	150.0	150	36.36363636363637	34.473607
WT_025_1_DKDL250004160-1A_22YNKMLT3_L8_1	97.26667705339753	52.0	150.0	150	27.27272727272727	3.9179239999999997
WT_025_2_DKDL250004161-1A_22YNKMLT3_L8_1	97.39034269884168	52.0	150.0	150	27.27272727272727	4.2479949999999995
WT_025_3_DKDL250004176-1A_22YNKMLT3_L6_1	97.02158193934977	52.0	150.0	150	54.54545454545454	4.1985459999999994
WT_025_4_DKDL250004177-1A_22YNKMLT3_L6_1	96.92690364164974	52.0	150.0	150	45.45454545454545	3.661621
WT_1_1_DKDL250004162-1A_22YNKMLT3_L8_1	97.92408835821482	53.0	150.0	150	45.45454545454545	5.011845
WT_1_2_DKDL250004163-1A_22YNKMLT3_L8_1	98.08127648844253	54.0	150.0	150	45.45454545454545	4.941306
WT_1_3_DKDL250004178-1A_22YNKMLT3_L6_1	97.72131836774867	53.0	150.0	150	54.54545454545454	5.937403
WT_1_4_DKDL250004179-1A_22YNKMLT3_L6_1	97.56583685297116	52.0	150.0	150	54.54545454545454	4.57076
WT_4_1_DKDL250004164-1A_22YNKMLT3_L8_1	98.27099643528311	53.0	150.0	150	45.45454545454545	3.7972159999999997
WT_4_2_DKDL250004165-1A_22YNKMLT3_L8_1	97.7882362309172	56.0	150.0	150	45.45454545454545	4.119155999999999
WT_4_3_DKDL250004180-1A_22YNKMLT3_L6_1	98.27897906293732	55.0	150.0	150	54.54545454545454	5.200634
WT_4_4_DKDL250004181-1A_22YNKMLT3_L6_1	98.33838942581916	56.0	150.0	150	54.54545454545454	5.601493
X15_1_DKDL250004156-1A_22YNKMLT3_L8_1	97.05201959822757	51.0	150.0	150	36.36363636363637	2.510227
X15_2_DKDL250004157-1A_22YNKMLT3_L5_1	97.06632279866777	52.0	150.0	150	45.45454545454545	3.281104
X15_3_DKDL250004172-1A_22YNKMLT3_L6_1	97.28470616131561	51.0	150.0	150	45.45454545454545	4.769511
X15_4_DKDL250004173-1A_22YNKMLT3_L8_1	97.44553295250397	52.0	150.0	150	36.36363636363637	3.555223
YHA_025_1_DKDL250004166-1A_22YNKMLT3_L8_1	97.89871069612695	53.0	150.0	150	45.45454545454545	4.282465999999999
YHA_025_2_DKDL250004167-1A_22YNKMLT3_L8_1	97.27285613287931	52.0	150.0	150	45.45454545454545	3.4357189999999997
YHA_025_3_DKDL250004182-1A_22YNKMLT3_L6_1	97.60853410401728	53.0	150.0	150	54.54545454545454	5.52539
YHA_025_4_DKDL250004183-1A_22YNKMLT3_L6_1	97.42976937831921	52.0	150.0	150	54.54545454545454	5.721652
YHA_1_1_DKDL250004168-1A_22YNKMLT3_L8_1	99.02925680775078	56.0	150.0	150	45.45454545454545	6.646248
YHA_1_2_DKDL250004169-1A_22YNKMLT3_L8_1	98.79571467341664	61.0	150.0	150	45.45454545454545	4.9596219999999995
YHA_1_3_DKDL250004184-1A_22YNKMLT3_L5_1	98.99616198333165	58.0	150.0	150	45.45454545454545	4.078148
YHA_1_4_DKDL250004185-1A_22YNKMLT3_L6_1	98.94645426006964	61.0	150.0	150	54.54545454545454	4.139545
